,Season,Seed_H,Last Seed_H,Max Seed 5Y_H,Avg Seed 5Y_H,Avg Seed 5Y Weighted_H,Seed_L,Last Seed_L,Max Seed 5Y_L,Avg Seed 5Y_L,Avg Seed 5Y Weighted_L,Team_ID_L,Team_ID_H,Outcome,Unnamed: 0,Seed_Matchup_Probability
22,1985,X03,,3,3.0,3.0,X07,,7,7.0,7.0,1104,1301,0,22,0.4
23,1985,X04,,4,4.0,4.0,X12,,12,12.0,12.0,1246,1424,1,23,0.3157894736842105
24,1985,X04,,4,4.0,4.0,X13,,13,13.0,13.0,1361,1424,0,24,0.2071428571428572
25,1985,X05,,5,5.0,5.0,X12,,12,12.0,12.0,1246,1449,1,25,0.3571428571428571
26,1985,X08,,8,8.0,8.0,X09,,9,9.0,9.0,1116,1234,1,26,0.5142857142857142
27,1985,X10,,10,10.0,10.0,X07,,7,7.0,7.0,1104,1112,1,27,0.6071428571428571
28,1985,X11,,11,11.0,11.0,X03,,3,3.0,3.0,1301,1431,1,28,0.6530612244897959
29,1985,X11,,11,11.0,11.0,X06,,6,6.0,6.0,1409,1431,0,29,0.6285714285714286
30,1985,X14,,14,14.0,14.0,X03,,3,3.0,3.0,1301,1305,1,30,0.85
31,1985,Y01,,1,1.0,1.0,Y02,,2,2.0,2.0,1272,1328,1,31,0.4615384615384616
32,1985,Y01,,1,1.0,1.0,Y05,,5,5.0,5.0,1256,1328,0,32,0.17021276595744686
33,1985,Y01,,1,1.0,1.0,Y09,,9,9.0,9.0,1229,1328,0,33,0.08333333333333337
34,1985,Y01,,1,1.0,1.0,Y16,,16,16.0,16.0,1299,1328,0,34,0.007142857142857118
35,1985,Y02,,2,2.0,2.0,Y11,,11,11.0,11.0,1130,1272,0,35,0.125
36,1985,Y03,,3,3.0,3.0,Y11,,11,11.0,11.0,1130,1181,1,36,0.3469387755102041
37,1985,Y04,,4,4.0,4.0,Y05,,5,5.0,5.0,1256,1326,1,37,0.4459459459459459
38,1985,Y04,,4,4.0,4.0,Y13,,13,13.0,13.0,1235,1326,0,38,0.2071428571428572
39,1985,Y06,,6,6.0,6.0,Y11,,11,11.0,11.0,1130,1403,1,39,0.37142857142857133
40,1985,Y07,,7,7.0,7.0,Y02,,2,2.0,2.0,1272,1412,1,40,0.6951219512195121
41,1985,Y07,,7,7.0,7.0,Y10,,10,10.0,10.0,1277,1412,0,41,0.3928571428571429
42,1985,Y08,,8,8.0,8.0,Y09,,9,9.0,9.0,1229,1425,1,42,0.5142857142857142
43,1985,Y12,,12,12.0,12.0,Y05,,5,5.0,5.0,1256,1338,1,43,0.6428571428571429
44,1985,Y14,,14,14.0,14.0,Y03,,3,3.0,3.0,1181,1337,1,44,0.85
45,1985,Y15,,15,15.0,15.0,Y02,,2,2.0,2.0,1272,1335,1,45,0.9428571428571428
46,1985,Z01,,1,1.0,1.0,Z16,,16,16.0,16.0,1192,1276,0,46,0.007142857142857118
47,1985,Z02,,2,2.0,2.0,Z11,,11,11.0,11.0,1120,1314,0,47,0.125
48,1985,Z02,,2,2.0,2.0,Z15,,15,15.0,15.0,1292,1314,0,48,0.05714285714285716
49,1985,Z03,,3,3.0,3.0,Z11,,11,11.0,11.0,1120,1242,1,49,0.3469387755102041
50,1985,Z06,,6,6.0,6.0,Z11,,11,11.0,11.0,1120,1345,1,50,0.37142857142857133
51,1985,Z07,,7,7.0,7.0,Z02,,2,2.0,2.0,1314,1323,1,51,0.6951219512195121
52,1985,Z08,,8,8.0,8.0,W01,,1,1.0,1.0,1207,1437,0,52,0.8
53,1985,Z08,,8,8.0,8.0,Y02,,2,2.0,2.0,1272,1437,0,53,0.2857142857142857
54,1985,Z08,,8,8.0,8.0,Z01,,1,1.0,1.0,1276,1437,0,54,0.8
55,1985,Z08,,8,8.0,8.0,Z02,,2,2.0,2.0,1314,1437,0,55,0.2857142857142857
56,1985,Z08,,8,8.0,8.0,Z05,,5,5.0,5.0,1268,1437,0,56,0.3333333333333333
57,1985,Z08,,8,8.0,8.0,Z09,,9,9.0,9.0,1173,1437,0,57,0.5142857142857142
58,1985,Z10,,10,10.0,10.0,Z07,,7,7.0,7.0,1323,1333,1,58,0.6071428571428571
59,1985,Z12,,12,12.0,12.0,Z05,,5,5.0,5.0,1268,1275,1,59,0.6428571428571429
60,1985,Z13,,13,13.0,13.0,Z04,,4,4.0,4.0,1261,1298,0,60,0.7928571428571428
61,1985,Z13,,13,13.0,13.0,Z05,,5,5.0,5.0,1268,1298,1,61,0.8235294117647058
62,1985,Z14,,14,14.0,14.0,Z03,,3,3.0,3.0,1242,1325,1,62,0.85
63,1986,W01,3.0,3,2.0,2.9847328825534682,W12,10.0,12,11.0,10.015267117446532,1177,1181,0,63,0.0
64,1986,W02,7.0,7,4.5,6.96183220638367,W07,13.0,13,10.0,12.954198647660405,1298,1393,1,64,0.30487804878048785
65,1986,W02,7.0,7,4.5,6.96183220638367,W15,,15,15.0,15.0,1135,1393,0,65,0.05714285714285716
66,1986,W03,,3,3.0,3.0,W14,,14,14.0,14.0,1156,1231,1,66,0.15000000000000002
67,1986,W04,1.0,4,2.5,1.0229006761697979,W12,10.0,12,11.0,10.015267117446532,1177,1328,1,67,0.3157894736842105
68,1986,W04,1.0,4,2.5,1.0229006761697979,W13,14.0,14,13.5,13.992366441276733,1318,1328,0,68,0.2071428571428572
69,1986,W05,,5,5.0,5.0,W12,10.0,12,11.0,10.015267117446532,1177,1438,1,69,0.3571428571428571
70,1986,W06,,6,6.0,6.0,W11,,11,11.0,11.0,1350,1386,0,70,0.37142857142857133
71,1986,W06,,6,6.0,6.0,W14,,14,14.0,14.0,1156,1386,1,71,0.125
72,1986,W07,13.0,13,10.0,12.954198647660405,W01,3.0,3,2.0,2.9847328825534682,1181,1298,1,72,0.8571428571428571
73,1986,W07,13.0,13,10.0,12.954198647660405,W14,,14,14.0,14.0,1156,1298,0,73,0.0
74,1986,W08,12.0,12,10.0,11.969465765106937,W01,3.0,3,2.0,2.9847328825534682,1181,1330,1,74,0.8
75,1986,W09,,9,9.0,9.0,W08,12.0,12,10.0,11.969465765106937,1330,1452,1,75,0.4857142857142857
76,1986,W10,6.0,10,8.0,6.0305342348930635,W07,13.0,13,10.0,12.954198647660405,1298,1409,1,76,0.6071428571428571
77,1986,W16,,16,16.0,16.0,W01,3.0,3,2.0,2.9847328825534682,1181,1290,1,77,0.9928571428571428
78,1986,X01,3.0,3,2.0,2.9847328825534682,W01,3.0,3,2.0,2.9847328825534682,1181,1242,1,78,0.5
79,1986,X02,1.0,2,1.5,1.007633558723266,X07,13.0,13,10.0,12.954198647660405,1235,1276,1,79,0.30487804878048785
80,1986,X02,1.0,2,1.5,1.007633558723266,X15,,15,15.0,15.0,1103,1276,0,80,0.05714285714285716
81,1986,X03,7.0,7,5.0,6.9694657651069365,X14,,14,14.0,14.0,1114,1323,1,81,0.15000000000000002
82,1986,X05,10.0,10,7.5,9.96183220638367,X01,3.0,3,2.0,2.9847328825534682,1242,1277,1,82,0.8297872340425532
83,1986,X05,10.0,10,7.5,9.96183220638367,X04,1.0,4,2.5,1.0229006761697979,1207,1277,0,83,0.5540540540540541
84,1986,X06,3.0,6,4.5,3.022900676169798,X01,3.0,3,2.0,2.9847328825534682,1242,1301,1,84,0.7272727272727273
85,1986,X06,3.0,6,4.5,3.022900676169798,X07,13.0,13,10.0,12.954198647660405,1235,1301,0,85,0.4285714285714286
86,1986,X06,3.0,6,4.5,3.022900676169798,X11,8.0,11,9.5,8.022900676169797,1234,1301,0,86,0.37142857142857133
87,1986,X06,3.0,6,4.5,3.022900676169798,X14,,14,14.0,14.0,1114,1301,0,87,0.125
88,1986,X09,8.0,9,8.5,8.007633558723265,X01,3.0,3,2.0,2.9847328825534682,1242,1396,1,88,0.9166666666666666
89,1986,X09,8.0,9,8.5,8.007633558723265,X08,,8,8.0,8.0,1239,1396,0,89,0.4857142857142857
90,1986,X10,12.0,12,11.0,11.98473288255347,X07,13.0,13,10.0,12.954198647660405,1235,1275,1,90,0.6071428571428571
91,1986,X12,5.0,12,8.5,5.053434911062861,X05,10.0,10,7.5,9.96183220638367,1277,1449,1,91,0.6428571428571429
92,1986,X13,6.0,13,9.5,6.053434911062862,X04,1.0,4,2.5,1.0229006761697979,1207,1403,1,92,0.7928571428571428
93,1986,X16,16.0,16,16.0,16.0,X01,3.0,3,2.0,2.9847328825534682,1242,1299,1,93,0.9928571428571428
94,1986,Y01,12.0,12,6.5,11.916030854044076,Y05,7.0,7,6.0,6.984732882553469,1104,1246,0,94,0.17021276595744686
95,1986,Y01,12.0,12,6.5,11.916030854044076,Y16,,16,16.0,16.0,1172,1246,0,95,0.007142857142857118
96,1986,Y03,2.0,3,2.5,2.007633558723266,Y11,4.0,11,7.5,4.053434911062862,1261,1272,1,96,0.3469387755102041
97,1986,Y03,2.0,3,2.5,2.007633558723266,Y14,,14,14.0,14.0,1123,1272,0,97,0.15000000000000002
98,1986,Y04,3.0,4,3.5,3.0076335587232657,Y05,7.0,7,6.0,6.984732882553469,1104,1228,1,98,0.4459459459459459
99,1986,Y04,3.0,4,3.5,3.0076335587232657,Y13,,13,13.0,13.0,1193,1228,0,99,0.2071428571428572
100,1986,Y06,6.0,6,6.0,6.000000000000001,Y11,4.0,11,7.5,4.053434911062862,1261,1345,1,100,0.37142857142857133
101,1986,Y07,9.0,9,8.0,8.984732882553468,Y10,8.0,10,9.0,8.015267117446532,1437,1439,1,101,0.3928571428571429
102,1986,Y08,,8,8.0,8.0,Y01,12.0,12,6.5,11.916030854044076,1246,1443,1,102,0.8
103,1986,Y08,,8,8.0,8.0,Y09,,9,9.0,9.0,1304,1443,0,103,0.5142857142857142
104,1986,Y10,8.0,10,9.0,8.015267117446532,Y02,2.0,2,2.0,2.0,1210,1437,1,104,0.64
105,1986,Y11,4.0,11,7.5,4.053434911062862,Y01,12.0,12,6.5,11.916030854044076,1246,1261,0,105,0.5714285714285714
106,1986,Y11,4.0,11,7.5,4.053434911062862,Y02,2.0,2,2.0,2.0,1210,1261,0,106,0.875
107,1986,Y11,4.0,11,7.5,4.053434911062862,Z02,,2,2.0,2.0,1257,1261,1,107,0.875
108,1986,Y12,,12,12.0,12.0,Y05,7.0,7,6.0,6.984732882553469,1104,1462,1,108,0.6428571428571429
109,1986,Y15,,15,15.0,15.0,Y02,2.0,2,2.0,2.0,1210,1265,1,109,0.9428571428571428
110,1986,Z01,1.0,1,1.0,1.0,Z08,11.0,11,9.5,10.977099323830203,1120,1385,1,110,0.2
111,1986,Z01,1.0,1,1.0,1.0,Z16,,16,16.0,16.0,1286,1385,0,111,0.007142857142857118
112,1986,Z02,,2,2.0,2.0,W01,3.0,3,2.0,2.9847328825534682,1181,1257,0,112,0.5384615384615384
113,1986,Z02,,2,2.0,2.0,Z07,,7,7.0,7.0,1133,1257,0,113,0.30487804878048785
114,1986,Z02,,2,2.0,2.0,Z08,11.0,11,9.5,10.977099323830203,1120,1257,0,114,0.7142857142857143
115,1986,Z02,,2,2.0,2.0,Z15,,15,15.0,15.0,1180,1257,0,115,0.05714285714285716
116,1986,Z03,2.0,3,2.5,2.007633558723266,Z02,,2,2.0,2.0,1257,1314,1,116,0.6071428571428571
117,1986,Z04,4.0,4,4.0,4.0,Z05,5.0,5,5.0,5.0,1268,1424,0,117,0.4459459459459459
118,1986,Z04,4.0,4,4.0,4.0,Z08,11.0,11,9.5,10.977099323830203,1120,1424,1,118,0.5555555555555556
119,1986,Z04,4.0,4,4.0,4.0,Z13,,13,13.0,13.0,1419,1424,0,119,0.2071428571428572
120,1986,Z06,7.0,7,6.5,6.992366441276735,Z03,2.0,3,2.5,2.007633558723266,1314,1412,1,120,0.6111111111111112
121,1986,Z06,7.0,7,6.5,6.992366441276735,Z11,,11,11.0,11.0,1281,1412,0,121,0.37142857142857133
122,1986,Z08,11.0,11,9.5,10.977099323830203,Z09,10.0,10,9.5,9.992366441276735,1112,1120,0,122,0.5142857142857142
123,1986,Z10,11.0,11,10.5,10.992366441276735,Z07,,7,7.0,7.0,1133,1431,1,123,0.6071428571428571
124,1986,Z12,14.0,14,13.0,13.98473288255347,Z05,5.0,5,5.0,5.0,1268,1337,1,124,0.6428571428571429
125,1986,Z14,,14,14.0,14.0,Z03,2.0,3,2.5,2.007633558723266,1314,1428,1,125,0.85
126,1987,W01,3.0,3,2.0,1.942513369895181,W09,2.0,9,4.0,0.9385026902780557,1276,1314,0,126,0.08333333333333337
127,1987,W02,2.0,7,3.6666666666666665,7.29188946120979,W01,3.0,3,2.0,1.942513369895181,1314,1393,0,127,0.5384615384615384
128,1987,W02,2.0,7,3.6666666666666665,7.29188946120979,W06,,6,6.0,6.0,1196,1393,0,128,0.22580645161290325
129,1987,W02,2.0,7,3.6666666666666665,7.29188946120979,W15,,15,15.0,15.0,1204,1393,0,129,0.05714285714285716
130,1987,W02,2.0,7,3.6666666666666665,7.29188946120979,X06,,6,6.0,6.0,1344,1393,0,130,0.22580645161290325
131,1987,W02,2.0,7,3.6666666666666665,7.29188946120979,Y01,3.0,3,2.0,2.9847328825534682,1231,1393,1,131,0.5384615384615384
132,1987,W03,6.0,6,5.0,6.001336893205708,W06,,6,6.0,6.0,1196,1345,1,132,0.3888888888888888
133,1987,W03,6.0,6,5.0,6.001336893205708,W14,13.0,14,13.666666666666666,14.057932261173388,1318,1345,0,133,0.15000000000000002
134,1987,W04,,4,4.0,4.0,W05,3.0,7,5.0,7.232620306830693,1323,1395,1,134,0.4459459459459459
135,1987,W04,,4,4.0,4.0,W13,15.0,15,14.0,14.984732882553468,1267,1395,0,135,0.2071428571428572
136,1987,W05,3.0,7,5.0,7.232620306830693,W01,3.0,3,2.0,1.942513369895181,1314,1323,1,136,0.8297872340425532
137,1987,W05,3.0,7,5.0,7.232620306830693,W12,15.0,15,13.5,14.977099323830204,1292,1323,0,137,0.3571428571428571
138,1987,W07,9.0,9,8.0,8.984732882553468,W10,8.0,10,9.0,8.015267117446532,1443,1452,1,138,0.3928571428571429
139,1987,W08,7.0,13,9.333333333333334,13.349821722383178,W09,2.0,9,4.0,0.9385026902780557,1276,1298,1,139,0.5142857142857142
140,1987,W10,8.0,10,9.0,8.015267117446532,W02,2.0,7,3.6666666666666665,7.29188946120979,1393,1443,1,140,0.64
141,1987,W11,6.0,11,6.666666666666667,2.8226381679312786,W06,,6,6.0,6.0,1196,1301,1,141,0.6285714285714286
142,1987,W16,15.0,16,15.5,15.007633558723265,W01,3.0,3,2.0,1.942513369895181,1314,1335,1,142,0.9928571428571428
143,1987,X01,4.0,4,2.0,0.8262032164798344,X16,,16,16.0,16.0,1137,1207,0,143,0.007142857142857118
144,1987,X03,4.0,4,3.3333333333333335,2.942067738826611,X14,,14,14.0,14.0,1122,1228,1,144,0.15000000000000002
145,1987,X05,1.0,5,3.0,3.114973260209638,X01,4.0,4,2.0,0.8262032164798344,1207,1242,1,145,0.8297872340425532
146,1987,X05,1.0,5,3.0,3.114973260209638,X12,,12,12.0,12.0,1222,1242,0,146,0.3571428571428571
147,1987,X06,,6,6.0,6.0,X01,4.0,4,2.0,0.8262032164798344,1207,1344,0,147,0.7272727272727273
148,1987,X06,,6,6.0,6.0,X02,5.0,7,4.666666666666667,7.118092677689624,1104,1344,0,148,0.7741935483870968
149,1987,X06,,6,6.0,6.0,X14,,14,14.0,14.0,1122,1344,0,149,0.125
150,1987,X07,,7,7.0,7.0,X02,5.0,7,4.666666666666667,7.118092677689624,1104,1309,1,150,0.6951219512195121
151,1987,X07,,7,7.0,7.0,X10,,10,10.0,10.0,1140,1309,0,151,0.3928571428571429
152,1987,X09,4.0,9,6.5,4.03816779361633,X01,4.0,4,2.0,0.8262032164798344,1207,1326,1,152,0.9166666666666666
153,1987,X09,4.0,9,6.5,4.03816779361633,X08,1.0,12,7.0,12.63903739718155,1246,1326,0,153,0.4857142857142857
154,1987,X11,6.0,11,8.0,7.05614973689911,X06,,6,6.0,6.0,1344,1412,1,154,0.6285714285714286
155,1987,X13,,13,13.0,13.0,X04,,4,4.0,4.0,1155,1283,0,155,0.7928571428571428
156,1987,X13,,13,13.0,13.0,X05,1.0,5,3.0,3.114973260209638,1242,1283,1,156,0.8235294117647058
157,1987,X15,16.0,16,15.666666666666666,16.00044563106857,X02,5.0,7,4.666666666666667,7.118092677689624,1104,1299,1,157,0.9428571428571428
158,1987,Y01,3.0,3,2.0,2.9847328825534682,Y05,1.0,5,3.0,3.114973260209638,1181,1231,0,158,0.17021276595744686
159,1987,Y01,3.0,3,2.0,2.9847328825534682,Y08,8.0,11,9.0,11.175133676725876,1120,1231,0,159,0.2
160,1987,Y01,3.0,3,2.0,2.9847328825534682,Y16,13.0,16,14.5,13.022900676169797,1193,1231,0,160,0.007142857142857118
161,1987,Y02,9.0,9,6.333333333333333,7.944741525238028,Y10,11.0,11,8.333333333333334,3.5918003853748632,1261,1396,1,161,0.36
162,1987,Y02,9.0,9,6.333333333333333,7.944741525238028,Y15,16.0,16,15.5,15.992366441276735,1380,1396,0,162,0.05714285714285716
163,1987,Y06,1.0,6,2.6666666666666665,0.9977718446571526,Y03,12.0,12,8.333333333333334,9.887254895133209,1177,1385,1,163,0.6111111111111112
164,1987,Y09,,9,9.0,9.0,Y08,8.0,11,9.0,11.175133676725876,1120,1360,1,164,0.4857142857142857
165,1987,Y10,11.0,11,8.333333333333334,3.5918003853748632,Y01,3.0,3,2.0,2.9847328825534682,1231,1261,1,165,0.8333333333333334
166,1987,Y10,11.0,11,8.333333333333334,3.5918003853748632,Y03,12.0,12,8.333333333333334,9.887254895133209,1177,1261,0,166,0.6923076923076923
167,1987,Y10,11.0,11,8.333333333333334,3.5918003853748632,Y07,2.0,7,3.6666666666666665,1.9977718446571526,1210,1261,0,167,0.6071428571428571
168,1987,Y11,11.0,11,11.0,11.0,Y06,1.0,6,2.6666666666666665,0.9977718446571526,1385,1455,1,168,0.6285714285714286
169,1987,Y12,,12,12.0,12.0,Y05,1.0,5,3.0,3.114973260209638,1181,1401,1,169,0.6428571428571429
170,1987,Y13,12.0,13,12.5,12.007633558723265,Y04,11.0,11,7.5,10.946565088937138,1281,1462,0,170,0.7928571428571428
171,1987,Y13,12.0,13,12.5,12.007633558723265,Y05,1.0,5,3.0,3.114973260209638,1181,1462,1,171,0.8235294117647058
172,1987,Y14,5.0,14,9.5,5.068702028509393,Y03,12.0,12,8.333333333333334,9.887254895133209,1177,1256,1,172,0.85
173,1987,Z01,4.0,4,3.0,4.001336893205709,Y01,3.0,3,2.0,2.9847328825534682,1231,1424,1,173,0.5
174,1987,Z01,4.0,4,3.0,4.001336893205709,Z02,11.0,11,7.0,7.828877002891251,1234,1424,0,174,0.4615384615384616
175,1987,Z01,4.0,4,3.0,4.001336893205709,Z09,,9,9.0,9.0,1243,1424,0,175,0.08333333333333337
176,1987,Z01,4.0,4,3.0,4.001336893205709,Z16,,16,16.0,16.0,1226,1424,0,176,0.007142857142857118
177,1987,Z03,12.0,12,7.5,11.931297971490608,Z06,4.0,6,3.6666666666666665,0.823975061136987,1328,1338,1,177,0.3888888888888888
178,1987,Z03,12.0,12,7.5,11.931297971490608,Z14,15.0,15,14.5,14.992366441276733,1265,1338,0,178,0.15000000000000002
179,1987,Z04,,4,4.0,4.0,Z13,,13,13.0,13.0,1141,1417,0,179,0.2071428571428572
180,1987,Z06,4.0,6,3.6666666666666665,0.823975061136987,Z02,11.0,11,7.0,7.828877002891251,1234,1328,1,180,0.7741935483870968
181,1987,Z07,10.0,11,9.333333333333334,11.059714785447667,Z02,11.0,11,7.0,7.828877002891251,1234,1431,1,181,0.6951219512195121
182,1987,Z07,10.0,11,9.333333333333334,11.059714785447667,Z10,9.0,10,9.666666666666666,10.05793226117339,1112,1431,0,182,0.3928571428571429
183,1987,Z09,,9,9.0,9.0,Z08,6.0,8,7.0,6.015267117446531,1208,1243,0,183,0.4857142857142857
184,1987,Z11,10.0,11,9.0,5.766042799963598,Z06,4.0,6,3.6666666666666665,0.823975061136987,1328,1409,1,184,0.6285714285714286
185,1987,Z12,,12,12.0,12.0,Z01,4.0,4,3.0,4.001336893205709,1424,1461,1,185,1.0
186,1987,Z12,,12,12.0,12.0,Z04,,4,4.0,4.0,1417,1461,0,186,0.6842105263157895
187,1987,Z12,,12,12.0,12.0,Z05,5.0,5,5.0,5.0,1438,1461,0,187,0.6428571428571429
188,1987,Z15,,15,15.0,15.0,Z02,11.0,11,7.0,7.828877002891251,1234,1365,1,188,0.9428571428571428
189,1988,W01,2.0,9,5.0,9.495742629417883,W02,5.0,5,2.75,0.6305582032323924,1181,1396,1,189,0.4615384615384616
190,1988,W01,2.0,9,5.0,9.495742629417883,W08,1.0,8,3.5,4.367076621471803,1207,1396,0,190,0.2
191,1988,W01,2.0,9,5.0,9.495742629417883,W13,11.0,13,12.0,11.01526711744653,1350,1396,0,191,0.0
192,1988,W01,2.0,9,5.0,9.495742629417883,W16,16.0,16,16.0,16.0,1250,1396,0,192,0.007142857142857118
193,1988,W02,5.0,5,2.75,0.6305582032323924,W15,,15,15.0,15.0,1131,1181,0,193,0.05714285714285716
194,1988,W03,2.0,7,3.5,1.692052996850467,W11,,11,11.0,11.0,1348,1393,1,194,0.3469387755102041
195,1988,W03,2.0,7,3.5,1.692052996850467,W14,15.0,16,15.25,16.0624408637364,1299,1393,0,195,0.15000000000000002
196,1988,W07,5.0,7,6.0,5.015267117446531,W02,5.0,5,2.75,0.6305582032323924,1181,1374,1,196,0.6951219512195121
197,1988,W07,5.0,7,6.0,5.015267117446531,W10,5.0,10,6.25,2.6277199928774264,1323,1374,0,197,0.3928571428571429
198,1988,W09,10.0,11,8.5,11.492904419062919,W08,1.0,8,3.5,4.367076621471803,1207,1261,1,198,0.4857142857142857
199,1988,W11,,11,11.0,11.0,W02,5.0,5,2.75,0.6305582032323924,1181,1348,1,199,0.875
200,1988,W11,,11,11.0,11.0,W06,4.0,11,7.0,11.407753983556569,1281,1348,0,200,0.6285714285714286
201,1988,W12,7.0,13,10.666666666666666,13.3480391981089,W05,7.0,7,4.0,1.691106926732145,1210,1235,1,201,0.6428571428571429
202,1988,W13,11.0,13,12.0,11.01526711744653,W04,1.0,4,2.6666666666666665,3.1154188912782073,1231,1350,0,202,0.7928571428571428
203,1988,W13,11.0,13,12.0,11.01526711744653,W05,7.0,7,4.0,1.691106926732145,1210,1350,0,203,0.8235294117647058
204,1988,X01,3.0,6,4.0,6.186849556150027,X04,9.0,9,6.5,8.96183220638367,1243,1345,1,204,0.2698412698412699
205,1988,X01,3.0,6,4.0,6.186849556150027,X09,3.0,9,4.666666666666667,1.9389483213466252,1272,1345,0,205,0.08333333333333337
206,1988,X01,3.0,6,4.0,6.186849556150027,X16,16.0,16,16.0,16.0,1192,1345,0,206,0.007142857142857118
207,1988,X02,3.0,12,5.666666666666667,12.525846661246192,X15,,15,15.0,15.0,1185,1338,0,207,0.05714285714285716
208,1988,X03,11.0,11,5.75,5.878429517941333,X14,,14,14.0,14.0,1293,1301,1,208,0.15000000000000002
209,1988,X04,9.0,9,6.5,8.96183220638367,X05,3.0,12,7.5,12.679753975212945,1177,1243,0,209,0.4459459459459459
210,1988,X04,9.0,9,6.5,8.96183220638367,X06,5.0,6,3.75,0.6286660629957486,1242,1243,1,210,0.5
211,1988,X06,5.0,6,3.75,0.6286660629957486,W02,5.0,5,2.75,0.6305582032323924,1181,1242,0,211,0.7741935483870968
212,1988,X07,,7,7.0,7.0,X02,3.0,12,5.666666666666667,12.525846661246192,1338,1435,0,212,0.6951219512195121
213,1988,X07,,7,7.0,7.0,X06,5.0,6,3.75,0.6286660629957486,1242,1435,1,213,0.5714285714285714
214,1988,X07,,7,7.0,7.0,X10,,10,10.0,10.0,1429,1435,0,214,0.3928571428571429
215,1988,X09,3.0,9,4.666666666666667,1.9389483213466252,X08,,8,8.0,8.0,1124,1272,0,215,0.4857142857142857
216,1988,X11,13.0,13,12.0,11.94251336989518,X06,5.0,6,3.75,0.6286660629957486,1242,1462,1,216,0.6285714285714286
217,1988,X12,11.0,12,11.333333333333334,10.999554368931431,X05,3.0,12,7.5,12.679753975212945,1177,1455,1,217,0.6428571428571429
218,1988,X13,,13,13.0,13.0,X04,9.0,9,6.5,8.96183220638367,1243,1247,1,218,0.7928571428571428
219,1988,X14,,14,14.0,14.0,X06,5.0,6,3.75,0.6286660629957486,1242,1293,1,219,0.875
220,1988,Y01,6.0,6,3.0,4.062913898795558,X06,5.0,6,3.75,0.6286660629957486,1242,1328,1,220,0.2727272727272727
221,1988,Y01,6.0,6,3.0,4.062913898795558,Y05,2.0,5,3.5,2.022900676169798,1257,1328,0,221,0.17021276595744686
222,1988,Y01,6.0,6,3.0,4.062913898795558,Y08,8.0,11,8.75,7.815515619145777,1120,1328,0,222,0.2
223,1988,Y01,6.0,6,3.0,4.062913898795558,Y16,,16,16.0,16.0,1151,1328,0,223,0.007142857142857118
224,1988,Y01,6.0,6,3.0,4.062913898795558,Z01,10.0,10,7.5,8.88079469323714,1112,1328,0,224,0.5
225,1988,Y05,2.0,5,3.5,2.022900676169798,Y04,10.0,10,7.0,9.954198647660405,1140,1257,0,225,0.5540540540540541
